Day_of_the_week,Date,Readers,WC_Pageviews,Product_Clicks,CTR,NYT_HP_Users,NYT_HP_Pageviews,Ratio_WC/NYT
Tuesday,2/22,159797,203042,40870,20.1%,4396048,22976637,0.88%
Wednesday,2/23,212384,285479,57070,20.0%,4445244,23506626,1.21%
Thursday,2/24,182641,242379,39776,16.4%,5896670,35876291,0.68%
Friday,2/25,165039,208446,49337,23.7%,5154989,30571502,0.68%
Saturday,2/26,169467,211592,42195,19.9%,4880745,28417904,0.74%
Sunday,2/27,164138,205763,40435,19.7%,5028031,29037902,0.71%
Monday,2/28,156054,198403,31898,16.1%,5128190,30393078,0.65%
Tuesday,3/1,152637,189912,28912,15.2%,5125343,30066393,0.63%
Wednesday,3/2,132697,165962,48869,29.4%,4980517,28032511,0.59%
Thursday,3/3,114118,137953,29338,21.3%,4822445,26538850,0.52%
Friday,3/4,169096,211711,38195,18.0%,4684541,24688447,0.86%
Saturday,3/5,164109,212113,56181,26.5%,4438123,22758880,0.93%
Sunday,3/6,180806,241690,38436,15.9%,4586630,23398301,1.03%
Monday,3/7,165838,211208,24773,11.7%,4833981,25497710,0.83%
Tuesday,3/8,198335,256387,24321,9.5%,4717134,24962654,1.03%
Wednesday,3/9,193398,252931,25298,10.0%,4725693,24522547,1.03%
Thursday,3/10,177648,228942,18389,8.0%,4602842,23136092,0.99%
Friday,3/11,172868,220430,16629,7.5%,4404838,21976715,1.00%
Saturday,3/12,158677,204940,33439,16.3%,4292015,21078802,0.97%
Sunday,3/13,198811,269268,46928,17.4%,4728288,21996967,1.22%
